ref_a,ref_b
ref-m-78877,ref-b-6134189
ref-m-81501,ref-y-1239059
ref-m-81501,ref-b-1331070
ref-m-81501,ref-b-1314199
ref-m-81501,ref-b-8028958
ref-m-81731,ref-b-1331439
ref-m-83060,ref-y-2566940
ref-m-83060,ref-y-2566940
ref-m-83060,ref-y-620731
ref-m-84707,ref-t-124932
ref-m-89072,ref-t-180284
ref-m-90822,ref-b-5410134
ref-m-92295,ref-b-8668269
ref-m-93915,ref-b-2228040
ref-m-98782,ref-b-5279967
ref-m-98782,ref-b-5279967
ref-m-101299,ref-t-199349
ref-m-101581,ref-t-200106
ref-m-101810,ref-y-1258362
ref-m-101810,ref-sifre-d-146732
ref-m-101810,ref-y-1258362
ref-m-103482,ref-t-318224
ref-m-104176,ref-t-210260
ref-m-104895,ref-t-210663
ref-m-105334,ref-b-2129831
ref-m-105334,ref-b-2346400
ref-m-105334,ref-b-2129831
ref-m-105334,ref-b-2346400
ref-m-107204,ref-sifre-d-289120
ref-m-107429,ref-sifre-d-289376
ref-m-107429,ref-sifre-n-201125
ref-m-110703,ref-t-217019
ref-m-111338,ref-b-1195016
ref-m-111627,ref-b-4001110
ref-m-111777,ref-sifre-n-158019
ref-m-112037,ref-b-7346098
ref-m-112037,ref-b-7346098
ref-m-112856,ref-t-218282
ref-m-113227,ref-y-791209
ref-m-116999,ref-t-222029
ref-m-118869,ref-b-1352049
ref-m-118869,ref-b-6675304
ref-m-118869,ref-b-6743912
ref-m-118869,ref-b-8266196
ref-m-119210,ref-t-123257
ref-m-119210,ref-t-123257
ref-m-119358,ref-y-837555
ref-m-119522,ref-y-837555
ref-m-120318,ref-b-2124613
ref-m-120318,ref-b-3113461
ref-m-120318,ref-b-7005890
ref-m-120318,ref-b-7005890
ref-m-120850,ref-t-222476
ref-m-121184,ref-y-851098
ref-m-121198,ref-sifre-d-282725
ref-m-123392,ref-y-1962410
ref-m-124222,ref-y-545153
ref-m-124613,ref-b-4388514
ref-m-124613,ref-t-225401
ref-m-125341,ref-t-226667
ref-m-126107,ref-t-227547
ref-m-126611,ref-sifre-d-284260
ref-m-127540,ref-t-225406
ref-m-127557,ref-t-225480
ref-m-127960,ref-t-225480
ref-m-129446,ref-t-230744
ref-m-129446,ref-t-230744
ref-m-132183,ref-b-475794
ref-m-133130,ref-y-948966
ref-m-136576,ref-y-979191
ref-m-136981,ref-sifra-87800
ref-m-136981,ref-sifra-88219
ref-m-136981,ref-sifra-88699
ref-m-136981,ref-sifra-89122
ref-m-146004,ref-b-717203
ref-m-147843,ref-b-752306
ref-m-150184,ref-b-7524058
ref-m-150184,ref-t-278749
ref-m-152215,ref-b-836372
ref-m-152215,ref-b-836372
ref-m-155045,ref-b-484625
ref-m-156300,ref-b-895099
ref-m-156590,ref-b-901407
ref-m-156590,ref-b-901407
ref-m-156590,ref-t-291565
ref-m-162709,ref-t-301214
ref-m-163634,ref-b-1060156
ref-m-167421,ref-b-1085562
ref-m-167625,ref-y-1167411
ref-m-167929,ref-b-1134078
ref-m-170380,ref-t-315676
ref-m-170380,ref-t-315670
ref-m-170629,ref-b-1211984
ref-m-170545,ref-b-1224452
ref-m-170629,ref-b-1211984
ref-m-170629,ref-b-1224452
ref-m-170928,ref-t-327092
ref-m-171132,ref-t-319376
ref-m-171132,ref-t-319376
ref-m-171528,ref-t-318224
ref-m-172659,ref-b-3451142
ref-m-173417,ref-b-1085965
ref-m-173701,ref-b-2001648
ref-m-173923,ref-b-1211138
ref-m-174103,ref-t-321993
ref-m-174549,ref-y-1204595
ref-m-175409,ref-b-984664
ref-m-176203,ref-b-363950
ref-m-176203,ref-b-363950
ref-m-177414,ref-b-1254783
ref-m-179615,ref-t-332404
ref-m-183158,ref-t-341512
ref-m-183436,ref-b-260635
ref-m-183806,ref-b-1438786
ref-m-184823,ref-y-1285030
ref-m-185291,ref-t-343250
ref-m-185291,ref-b-1456923
ref-m-185291,ref-b-7358527
ref-m-185291,ref-t-343556
ref-m-185577,ref-y-1365394
ref-m-185577,ref-y-2570437
ref-m-185577,ref-y-3147351
ref-m-185577,ref-b-1454905
ref-m-186063,ref-b-6813130
ref-m-187339,ref-t-348621
ref-m-187769,ref-b-790131
ref-m-189552,ref-y-1319326
ref-m-189564,ref-b-1509976
ref-m-189564,ref-b-1509976
ref-m-191256,ref-t-619654
ref-m-191256,ref-t-354994
ref-m-191256,ref-t-354994
ref-m-191256,ref-t-619654
ref-m-195635,ref-b-4532986
ref-m-196560,ref-t-366670
ref-m-196720,ref-t-366492
ref-m-196720,ref-t-366492
ref-m-199285,ref-b-2654941
ref-m-199285,ref-b-2654941
ref-m-199898,ref-b-7203279
ref-m-199898,ref-b-7284176
ref-m-199898,ref-b-8122886
ref-m-201051,ref-b-1868578
ref-m-201051,ref-b-5286586
ref-m-201914,ref-b-7476712
ref-m-202159,ref-t-375987
ref-m-204236,ref-b-3587445
ref-m-204236,ref-b-3587445
ref-m-204508,ref-b-8364687
ref-m-204527,ref-t-378857
ref-m-204527,ref-t-378857
ref-m-204948,ref-b-7085650
ref-m-204948,ref-b-8293100
ref-m-204948,ref-b-8329919
ref-m-204948,ref-y-1529297
ref-m-207702,ref-b-1838162
ref-m-207702,ref-y-1547693
ref-m-208371,ref-b-8502703
ref-m-208471,ref-b-7449224
ref-m-208471,ref-b-7449224
ref-m-208735,ref-t-381630
ref-m-208735,ref-b-1843508
ref-m-209181,ref-sifra-153108
ref-m-209181,ref-b-8304936
ref-m-210481,ref-b-7300534
ref-m-211813,ref-b-7759505
ref-m-211813,ref-b-7759505
ref-m-211813,ref-b-8501009
ref-m-211813,ref-b-8501009
ref-m-212016,ref-t-384601
ref-m-212016,ref-sifra-185912
ref-m-212016,ref-t-200106
ref-m-214259,ref-b-8499415
ref-m-214681,ref-t-390665
ref-m-215068,ref-y-1413586
ref-m-215068,ref-y-1413553
ref-m-215731,ref-b-7452685
ref-m-217193,ref-t-393034
ref-m-217193,ref-sifra-431311
ref-m-217193,ref-sifra-431759
ref-m-217193,ref-sifra-434232
ref-m-217193,ref-sifra-443872
ref-m-217193,ref-sifra-434232
ref-m-217523,ref-t-393956
ref-m-217736,ref-t-394171
ref-m-218283,ref-t-398136
ref-m-218283,ref-t-398136
ref-m-218667,ref-t-393034
ref-m-218667,ref-sifra-431311
ref-m-218667,ref-sifra-431759
ref-m-218667,ref-sifra-443863
ref-m-219178,ref-sifra-434472
ref-m-219540,ref-b-1811149
ref-m-219553,ref-b-1811149
ref-m-220279,ref-t-399263
ref-m-220469,ref-t-399561
ref-m-220930,ref-t-400703
ref-m-221248,ref-t-400703
ref-m-221415,ref-b-1845087
ref-m-221818,ref-sifra-441781
ref-m-221836,ref-t-401264
ref-m-221836,ref-sifra-441781
ref-m-221836,ref-t-401264
ref-m-221836,ref-t-401264
ref-m-221836,ref-b-1852032
ref-m-222150,ref-t-402013
ref-m-222150,ref-t-1035828
ref-m-222150,ref-t-402013
ref-m-222150,ref-t-1035828
ref-m-222825,ref-sifra-433054
ref-m-223187,ref-t-393034
ref-m-223187,ref-sifra-431311
ref-m-223187,ref-sifra-431759
ref-m-223187,ref-sifra-443863
ref-m-223734,ref-t-404623
ref-m-225328,ref-t-406114
ref-m-225328,ref-t-406125
ref-m-225328,ref-b-1883705
ref-m-225328,ref-b-4038977
ref-m-227916,ref-sifra-453088
ref-m-227916,ref-sifra-453088
ref-m-229616,ref-b-1209422
ref-m-231314,ref-b-1922184
ref-m-231314,ref-b-2029284
ref-m-231314,ref-b-2029284
ref-m-231950,ref-b-56483
ref-m-231950,ref-b-970314
ref-m-231950,ref-b-970314
ref-m-231950,ref-b-56483
ref-m-232251,ref-b-2036121
ref-m-233496,ref-b-2043558
ref-m-233688,ref-t-418646
ref-m-241231,ref-b-2153842
ref-m-241231,ref-t-431851
ref-m-241231,ref-b-2153842
ref-m-241231,ref-b-2154187
ref-m-243904,ref-t-438313
ref-m-243904,ref-t-438313
ref-m-245167,ref-t-439974
ref-m-246981,ref-y-1730663
ref-m-246996,ref-t-443796
ref-m-246996,ref-t-443796
ref-m-247363,ref-t-444214
ref-m-253641,ref-b-2329504
ref-m-253641,ref-b-2329504
ref-m-253787,ref-t-453400
ref-m-253787,ref-t-453400
ref-m-253971,ref-mek-207690
ref-m-254740,ref-t-453782
ref-m-255026,ref-b-2129120
ref-m-255425,ref-sifra-585693
ref-m-255792,ref-t-455099
ref-m-260649,ref-y-1774821
ref-m-260649,ref-y-1774821
ref-m-261240,ref-b-1066338
ref-m-262972,ref-b-2452012
ref-m-262972,ref-b-2452012
ref-m-263230,ref-b-98437
ref-m-263427,ref-b-2469799
ref-m-263858,ref-b-2472831
ref-m-263858,ref-b-2472831
ref-m-266234,ref-y-1833419
ref-m-266234,ref-y-1833419
ref-m-267572,ref-y-1852473
ref-m-268309,ref-t-475915
ref-m-268453,ref-t-475703
ref-m-275316,ref-y-2002229
ref-m-278315,ref-sifre-d-173236
ref-m-278849,ref-sifre-d-173826
ref-m-278849,ref-sifre-d-173826
ref-m-279511,ref-t-497027
ref-m-281089,ref-t-503523
ref-m-281089,ref-t-503523
ref-m-281347,ref-t-504125
ref-m-281511,ref-t-504479
ref-m-284373,ref-sifre-d-272486
ref-m-285546,ref-b-4568480
ref-m-286126,ref-t-517150
ref-m-287227,ref-b-3004538
ref-m-287882,ref-b-2876594
ref-m-288243,ref-b-4371386
ref-m-288243,ref-y-2089446
ref-m-288500,ref-sifre-d-272991
ref-m-289122,ref-t-521246
ref-m-289122,ref-t-521246
ref-m-290632,ref-y-2080508
ref-m-290632,ref-y-2085059
ref-m-290901,ref-b-1086825
ref-m-295622,ref-y-2135425
ref-m-296469,ref-y-2138954
ref-m-296469,ref-sifra-556839
ref-m-296469,ref-y-2138954
ref-m-296469,ref-sifra-556839
ref-m-297280,ref-sifre-d-247765
ref-m-298046,ref-y-2159594
ref-m-302122,ref-t-537172
ref-m-302329,ref-b-3016577
ref-m-302329,ref-b-3016577
ref-m-304895,ref-t-541767
ref-m-304895,ref-t-541767
ref-m-306103,ref-sifre-d-276574
ref-m-306103,ref-sifre-d-276574
ref-m-306103,ref-b-3191037
ref-m-306103,ref-sifre-d-276306
ref-m-306712,ref-b-6127959
ref-m-306775,ref-bible-388858
ref-m-306775,ref-bible-388858
ref-m-309305,ref-y-2218263
ref-m-310977,ref-t-547407
ref-m-310977,ref-b-3213499
ref-m-310977,ref-b-3213499
ref-m-310977,ref-b-4319521
ref-m-310977,ref-b-4319521
ref-m-316851,ref-b-3228660
ref-m-319902,ref-t-212902
ref-m-320017,ref-b-3309529
ref-m-322909,ref-sifre-d-237835
ref-m-322909,ref-sifre-d-237835
ref-m-322909,ref-sifre-d-243762
ref-m-322909,ref-sifre-d-243762
ref-m-325182,ref-b-5825979
ref-m-326429,ref-b-3404970
ref-m-326429,ref-b-3422442
ref-m-326926,ref-b-3741613
ref-m-326926,ref-y-2438326
ref-m-329196,ref-t-767898
ref-m-329976,ref-t-569759
ref-m-331722,ref-t-572806
ref-m-331722,ref-y-2885799
ref-m-333511,ref-t-574821
ref-m-333511,ref-t-574821
ref-m-336591,ref-b-3530915
ref-m-336591,ref-b-3530915
ref-m-337023,ref-b-3525526
ref-m-337023,ref-b-3530344
ref-m-337380,ref-t-578359
ref-m-337936,ref-t-578604
ref-m-337936,ref-b-3531800
ref-m-337936,ref-b-3534383
ref-m-337936,ref-t-578604
ref-m-337936,ref-b-3534383
ref-m-338540,ref-t-579262
ref-m-340606,ref-b-3556505
ref-m-342214,ref-t-584915
ref-m-342687,ref-b-3673829
ref-m-342902,ref-b-3673829
ref-m-343694,ref-b-5608659
ref-m-346994,ref-y-2538676
ref-m-348587,ref-b-3663661
ref-m-350281,ref-mek-221914
ref-m-350657,ref-t-590645
ref-m-351432,ref-y-2553045
ref-m-352573,ref-b-3476700
ref-m-353573,ref-y-2560175
ref-m-353693,ref-b-2241563
ref-m-353698,ref-b-2241552
ref-m-353991,ref-b-3698534
ref-m-353991,ref-b-3698534
ref-m-354336,ref-b-5831886
ref-m-355721,ref-b-3709740
ref-m-356852,ref-b-7800338
ref-m-357892,ref-b-3720446
ref-m-357892,ref-b-3720446
ref-m-358557,ref-b-3638033
ref-m-358999,ref-b-4610602
ref-m-360216,ref-b-3655408
ref-m-360216,ref-t-596309
ref-m-360362,ref-b-3655803
ref-m-360402,ref-b-4330609
ref-m-360362,ref-b-4330609
ref-m-360402,ref-b-3655803
ref-m-360759,ref-b-3648927
ref-m-360759,ref-b-3648927
ref-m-362473,ref-t-597712
ref-m-362864,ref-b-3661041
ref-m-362864,ref-b-3661041
ref-m-363319,ref-b-3730714
ref-m-364873,ref-b-3743002
ref-m-365335,ref-y-2596396
ref-m-365335,ref-y-2596396
ref-m-365478,ref-b-930092
ref-m-365644,ref-y-2600876
ref-m-365644,ref-y-2601696
ref-m-365792,ref-b-3756890
ref-m-365792,ref-y-2603748
ref-m-366875,ref-y-2851145
ref-m-367792,ref-b-3218289
ref-m-368496,ref-b-3775364
ref-m-370378,ref-y-2733347
ref-m-370667,ref-b-3793414
ref-m-371407,ref-y-2019246
ref-m-371407,ref-b-3779742
ref-m-371407,ref-y-2019246
ref-m-371505,ref-t-607519
ref-m-371505,ref-b-3779742
ref-m-371726,ref-t-607519
ref-m-372791,ref-y-3206247
ref-m-372800,ref-y-2231112
ref-m-372800,ref-y-2231112
ref-m-373380,ref-b-3757726
ref-m-373766,ref-b-3818271
ref-m-373766,ref-b-3818541
ref-m-373766,ref-b-7147488
ref-m-373794,ref-b-7147488
ref-m-374429,ref-b-3818271
ref-m-374429,ref-b-3818541
ref-m-374429,ref-b-7147488
ref-m-374457,ref-b-7147488
ref-m-374457,ref-t-611931
ref-m-374638,ref-b-3828750
ref-m-375936,ref-y-2763771
ref-m-376155,ref-t-613229
ref-m-376199,ref-t-613229
ref-m-376155,ref-b-3830692
ref-m-376672,ref-t-613890
ref-m-376672,ref-t-613779
ref-m-377230,ref-sifre-n-38449
ref-m-378313,ref-sifra-373999
ref-m-379700,ref-b-3861792
ref-m-379700,ref-b-3861792
ref-m-381013,ref-b-3880444
ref-m-381476,ref-t-616014
ref-m-381476,ref-t-616389
ref-m-381550,ref-t-616389
ref-m-382399,ref-t-618815
ref-m-383488,ref-b-5764157
ref-m-383838,ref-sifra-396831
ref-m-385121,ref-sifre-n-23991
ref-m-385487,ref-b-6108339
ref-m-385487,ref-t-622734
ref-m-385567,ref-sifre-n-22296
ref-m-385567,ref-sifre-n-22296
ref-m-386260,ref-t-630209
ref-m-386527,ref-y-2262436
ref-m-386546,ref-mek-86832
ref-m-386546,ref-sifre-n-144958
ref-m-387165,ref-b-3961831
ref-m-388136,ref-sifre-n-27516
ref-m-388136,ref-sifre-n-27516
ref-m-388336,ref-b-4479559
ref-m-389727,ref-b-3918432
ref-m-389746,ref-sifre-n-20053
ref-m-389746,ref-sifre-n-20053
ref-m-390033,ref-y-2287133
ref-m-390563,ref-b-3985347
ref-m-390684,ref-y-2290961
ref-m-391282,ref-b-2958897
ref-m-391324,ref-t-638171
ref-m-392158,ref-b-1323731
ref-m-392287,ref-sifra-289514
ref-m-392287,ref-sifra-289514
ref-m-393864,ref-b-3907832
ref-m-393864,ref-sifre-d-200515
ref-m-394309,ref-b-4004877
ref-m-394309,ref-t-548354
ref-m-394309,ref-t-638606
ref-m-394765,ref-b-4008717
ref-m-395128,ref-sifre-d-104853
ref-m-395341,ref-t-658410
ref-m-397483,ref-sifre-d-204652
ref-m-397615,ref-bible-1566807
ref-m-397819,ref-sifre-d-204975
ref-m-398294,ref-bible-379716
ref-m-398729,ref-b-4050115
ref-m-398729,ref-t-653078
ref-m-398802,ref-sifre-d-205573
ref-m-399153,ref-b-4051172
ref-m-399872,ref-sifre-d-207712
ref-m-401452,ref-b-4063123
ref-m-401494,ref-b-4031003
ref-m-401566,ref-sifre-d-214334
ref-m-402933,ref-t-679950
ref-m-403967,ref-b-4080550
ref-m-404753,ref-y-1521021
ref-m-404753,ref-y-905226
ref-m-404753,ref-b-6577683
ref-m-404753,ref-b-6577683
ref-m-405712,ref-b-4105494
ref-m-405925,ref-t-684615
ref-m-407999,ref-t-687674
ref-m-408106,ref-sifre-d-255861
ref-m-408106,ref-sifre-d-255836
ref-m-408106,ref-sifre-d-255861
ref-m-411040,ref-y-1253416
ref-m-411258,ref-b-1575030
ref-m-412210,ref-t-692347
ref-m-412210,ref-t-692347
ref-m-413465,ref-t-693190
ref-m-413465,ref-t-693190
ref-m-413765,ref-b-4271689
ref-m-413788,ref-b-4271689
ref-m-415274,ref-b-4540829
ref-m-416339,ref-b-7596994
ref-m-417341,ref-b-4321347
ref-m-418661,ref-t-700320
ref-m-418889,ref-t-700537
ref-m-419716,ref-t-702039
ref-m-421223,ref-b-3145981
ref-m-422701,ref-b-4086285
ref-m-422701,ref-b-5932255
ref-m-423105,ref-b-4374597
ref-m-423105,ref-b-4374893
ref-m-424925,ref-t-707996
ref-m-426344,ref-t-710635
ref-m-426344,ref-y-2882174
ref-m-426643,ref-y-2884987
ref-m-426643,ref-b-4550890
ref-m-427468,ref-y-2885799
ref-m-427828,ref-y-2886072
ref-m-427828,ref-b-4565897
ref-m-427828,ref-b-4566722
ref-m-427828,ref-b-4565897
ref-m-427828,ref-b-5853406
ref-m-427828,ref-b-5853406
ref-m-427828,ref-y-2886072
ref-m-429331,ref-t-716209
ref-m-430981,ref-b-3724064
ref-m-430981,ref-b-4567470
ref-m-431363,ref-t-720209
ref-m-431363,ref-t-720209
ref-m-432457,ref-b-3122358
ref-m-434303,ref-t-723287
ref-m-435138,ref-t-724699
ref-m-435422,ref-t-724914
ref-m-435422,ref-b-4680932
ref-m-435815,ref-t-725224
ref-m-435815,ref-y-2952968
ref-m-435973,ref-t-725435
ref-m-435973,ref-b-4681397
ref-m-437508,ref-t-727897
ref-m-441737,ref-b-4715896
ref-m-441737,ref-b-4715896
ref-m-442196,ref-b-4790287
ref-m-442196,ref-b-4790287
ref-m-442611,ref-b-4791821
ref-m-443417,ref-b-4800933
ref-m-443417,ref-y-2981537
ref-m-443919,ref-t-740799
ref-m-444471,ref-b-4859960
ref-m-444471,ref-t-743806
ref-m-444471,ref-mek-324508
ref-m-444670,ref-t-745069
ref-m-444929,ref-t-744454
ref-m-445530,ref-b-4834215
ref-m-445530,ref-b-4834215
ref-m-447991,ref-mek-338434
ref-m-448468,ref-b-418651
ref-m-448468,ref-b-4747458
ref-m-454559,ref-t-774125
ref-m-455844,ref-t-775739
ref-m-455844,ref-t-775739
ref-m-458724,ref-y-3020511
ref-m-461538,ref-b-5179270
ref-m-461538,ref-sifre-d-226259
ref-m-462890,ref-y-3032287
ref-m-462890,ref-y-3032287
ref-m-463345,ref-y-3546038
ref-m-463345,ref-y-3546038
ref-m-463745,ref-b-5043403
ref-m-464025,ref-y-2857077
ref-m-464188,ref-t-549066
ref-m-464188,ref-y-2233491
ref-m-464293,ref-t-794275
ref-m-464293,ref-t-794275
ref-m-464586,ref-t-794329
ref-m-467113,ref-sifra-623143
ref-m-467113,ref-sifra-623143
ref-m-467113,ref-t-797357
ref-m-469647,ref-sifra-634449
ref-m-472236,ref-sifre-d-252513
ref-m-473753,ref-b-5359985
ref-m-474487,ref-b-5257831
ref-m-474487,ref-b-5387035
ref-m-474487,ref-b-5387035
ref-m-475625,ref-t-318224
ref-m-476042,ref-b-5418181
ref-m-476502,ref-t-822048
ref-m-479561,ref-t-827529
ref-m-480797,ref-t-833134
ref-m-480802,ref-t-833134
ref-m-482216,ref-b-4742361
ref-m-482629,ref-b-4694018
ref-m-483394,ref-b-4140737
ref-m-485701,ref-t-843244
ref-m-485719,ref-t-843244
ref-m-486005,ref-b-4879771
ref-m-486005,ref-b-5499354
ref-m-486623,ref-t-844519
ref-m-486623,ref-t-844519
ref-m-487149,ref-b-5494007
ref-m-487780,ref-b-5494007
ref-m-488132,ref-b-5573480
ref-m-490684,ref-b-5664189
ref-m-491800,ref-b-5674231
ref-m-492072,ref-b-5677307
ref-m-492598,ref-b-5872857
ref-m-492900,ref-b-5681017
ref-m-493678,ref-y-3097264
ref-m-493758,ref-t-850692
ref-m-493758,ref-t-850692
ref-m-493886,ref-y-3094877
ref-m-494121,ref-b-5229462
ref-m-496274,ref-sifra-507272
ref-m-496274,ref-sifra-507272
ref-m-496643,ref-y-3101692
ref-m-496861,ref-t-857848
ref-m-499117,ref-b-5766997
ref-m-500262,ref-b-5803561
ref-m-500262,ref-b-5803561
ref-m-500836,ref-b-2950768
ref-m-501633,ref-b-4971763
ref-m-501633,ref-b-4971763
ref-m-501633,ref-b-2951075
ref-m-502087,ref-b-5844388
ref-m-502087,ref-b-5844388
ref-m-502718,ref-t-869958
ref-m-502718,ref-t-869958
ref-m-502718,ref-b-5849517
ref-m-504137,ref-b-4120890
ref-m-504502,ref-b-5894306
ref-m-504502,ref-b-2958507
ref-m-504502,ref-b-5894306
ref-m-505142,ref-b-4558774
ref-m-506882,ref-b-5549109
ref-m-507309,ref-t-879612
ref-m-507964,ref-b-3566566
ref-m-509072,ref-t-887641
ref-m-510118,ref-t-891100
ref-m-510118,ref-t-891128
ref-m-510583,ref-y-3542183
ref-m-510583,ref-y-3542195
ref-m-510583,ref-y-3165285
ref-m-511354,ref-b-5999829
ref-m-511718,ref-sifre-d-184379
ref-m-511718,ref-sifre-d-184379
ref-m-512746,ref-t-897836
ref-m-514213,ref-sifra-493966
ref-m-517356,ref-b-6076900
ref-m-518028,ref-sifre-d-179173
ref-m-518028,ref-sifre-d-134564
ref-m-518079,ref-b-1304113
ref-m-518079,ref-b-1304113
ref-m-518079,ref-t-911613
ref-m-518079,ref-t-911613
ref-m-518958,ref-y-3209330
ref-m-519105,ref-b-6061461
ref-m-519292,ref-t-912523
ref-m-520639,ref-y-3213483
ref-m-520846,ref-t-913954
ref-m-521015,ref-sifre-n-169207
ref-m-521432,ref-sifre-d-222951
ref-m-521929,ref-b-2813890
ref-m-523264,ref-sifra-514654
ref-m-524235,ref-sifra-607604
ref-m-525665,ref-b-6197625
ref-m-525869,ref-sifre-d-133444
ref-m-526091,ref-sifre-d-191771
ref-m-526712,ref-b-6213410
ref-m-526712,ref-b-6213410
ref-m-527278,ref-sifre-d-221866
ref-m-527278,ref-sifre-d-221894
ref-m-527278,ref-b-6110977
ref-m-527773,ref-b-6217534
ref-m-527773,ref-sifre-d-222651
ref-m-528611,ref-b-4761577
ref-m-530795,ref-y-222217
ref-m-531447,ref-t-926973
ref-m-532185,ref-b-6405104
ref-m-532308,ref-y-3304206
ref-m-533061,ref-sifre-d-135176
ref-m-533061,ref-sifre-d-135176
ref-m-533573,ref-t-930954
ref-m-534431,ref-sifre-d-180781
ref-m-534462,ref-b-6272610
ref-m-534734,ref-y-3158654
ref-m-535151,ref-b-6274732
ref-m-535211,ref-t-920258
ref-m-535514,ref-b-6275307
ref-m-537109,ref-sifre-d-200892
ref-m-537109,ref-t-933188
ref-m-537492,ref-sifre-d-202432
ref-m-538112,ref-b-5957124
ref-m-538112,ref-b-5957124
ref-m-538112,ref-sifra-150441
ref-m-538112,ref-sifra-150441
ref-m-538112,ref-t-934850
ref-m-538640,ref-y-3320922
ref-m-538640,ref-y-3320922
ref-m-539024,ref-b-6438646
ref-m-539024,ref-b-6438646
ref-m-539440,ref-mek-300244
ref-m-540032,ref-sifre-d-196423
ref-m-540032,ref-sifre-d-196423
ref-m-541173,ref-sifre-n-289641
ref-m-541173,ref-sifre-d-198110
ref-m-541193,ref-b-6453974
ref-m-541193,ref-b-6453974
ref-m-542649,ref-b-3347684
ref-m-542649,ref-b-3347684
ref-m-543617,ref-sifre-d-229625
ref-m-543916,ref-sifra-502268
ref-m-544125,ref-sifra-502790
ref-m-546263,ref-sifre-d-270749
ref-m-546588,ref-sifre-d-271098
ref-m-546588,ref-sifre-d-271683
ref-m-547042,ref-sifra-444749
ref-m-547042,ref-t-945950
ref-m-547042,ref-sifra-445755
ref-m-548065,ref-sifra-445755
ref-m-548065,ref-sifra-444749
ref-m-548065,ref-sifra-445755
ref-m-548732,ref-b-7426900
ref-m-548815,ref-sifra-454568
ref-m-548815,ref-sifra-454568
ref-m-550004,ref-sifra-128360
ref-m-550537,ref-sifra-133568
ref-m-551069,ref-y-3365571
ref-m-551390,ref-sifra-130698
